Designator,Mid X,Mid Y,Rotation,Layer
C1,86.43,-62.6175,270.0,top
C10,85.45,-61.1775,270.0,top
C2,91.81,-60.3675,270.0,top
C3,95.065,-62.23,180.0,top
C4,93.0,-62.5475,270.0,top
C5,93.06,-59.965,270.0,top
C6,94.84,-59.74,270.0,top
C7,86.43,-60.3875,270.0,top
C8,84.26,-59.485,270.0,top
C9,82.5,-59.26,270.0,top
R1,83.67,-64.005,270.0,top
R2,88.425,-62.99,0.0,top
R3,85.19,-64.005,90.0,top
R4,94.225,-64.55,0.0,top
R5,94.225,-66.04,0.0,top
R6,96.45,-64.475,270.0,top
R7,97.95,-64.475,270.0,top
R8,97.32,-61.465,270.0,top
R9,83.455,-61.74,0.0,top
U1,89.06,-60.75,0.0,top
U2,89.87,-65.6,180.0,top
USB1,100.085,-62.49,90.0,top
USB2,79.8,-62.38,270.0,top
